SO Id,AnswerCount,Score,ViewCount,CommentCount,FavoriteCount,SumAnswersScores,AvgCommentCount,AvgAnswerersReputation,AskerReputation,Label,SSVC,HasAcceptedAnswer,,
18249967,1,1,74,6,0,2,2,38057,1672,0,2.7027027027027,1,,
18249916,3,8,109,1,1,6,1,40122,151,0,5.5045871559633,1,,Label=1→ Deficient Question
18249906,2,4,223,1,0,3,3,348409,565,0,1.34529147982063,1,,SSVC→  Sum of the Scores/View Count (%)
18249883,2,1,158,2,0,4,2,1769,324,0,2.53164556962025,0,,
18249834,7,2,4279,2,1,15,0,31887,47,0,0.350549193736854,1,,
18249696,1,1,950,0,0,1,2,60542,155,0,0.105263157894737,1,,
18249592,3,17,70130,4,3,41,1,1007,515,0,0.058462854698417,1,,
18249576,3,1,1276,5,0,4,0,2811,608,0,0.313479623824451,1,,
18249555,4,2,5480,15,2,2,2,4925,19858,1,0.036496350364964,0,,
18249490,2,3,1570,0,2,7,1,269,407,0,0.445859872611465,1,,
18249395,2,3,3085,0,2,7,0,14952,33,0,0.226904376012966,0,,
18249288,1,1,357,0,0,0,0,23,23,1,0,0,,
18249095,2,1,80,1,0,2,2,3371,8,0,2.5,1,,
18248977,6,6,9324,2,0,15,0,13124,1,0,0.160875160875161,0,,
18248929,4,2,210,4,0,5,1,19869,380,0,2.38095238095238,1,,
18248917,4,2,148,3,0,1,1,3718,42,0,0.675675675675676,1,,
18248889,1,1,347,1,0,0,0,158,6,1,0,0,,
18248819,2,2,178,0,0,1,0,3235,3540,1,0.561797752808989,0,,
18248790,1,2,3573,0,0,4,4,5829,196,0,0.111950741673664,1,,
18248671,3,2,611,0,0,0,0,7804,29,1,0,0,,
18248650,1,1,72,5,0,1,0,546,26342,0,1.38888888888889,0,,
18248598,5,2,391,6,1,4,1,3022,1540,0,1.0230179028133,1,,
18248556,7,2,7273,3,0,6,0,19708,11,0,0.082496906366011,1,,
18248550,2,1,532,3,0,0,9,3225,326,1,0,0,,
18248280,1,1,135,0,0,2,1,2252,180,0,1.48148148148148,1,,
18248243,2,1,4232,5,1,0,1,24528,21,1,0,0,,
18247933,3,3,11531,0,1,6,0,137482,7899,1,0.052033648425982,0,,
18247909,1,2,2110,0,0,4,3,163252,69,0,0.18957345971564,0,,
18247811,3,5,707,3,0,6,2,13018,2512,0,0.848656294200849,0,,
18247782,3,2,3565,1,0,1,0,6857,52,1,0.028050490883591,1,,
20864367,1,5,1125,2,0,6,3,146239,924,0,0.533333333333333,1,,
20864184,3,2,92,4,0,0,0,3389,13,0,0,0,,
20864003,3,3,79,4,0,8,2,75555,5473,0,10.126582278481,1,,
20863989,5,4,231,4,0,4,1,68366,5441,0,1.73160173160173,1,,
20863943,1,2,229,7,0,0,0,1128,1128,0,0,1,,
20863919,1,1,139,0,0,3,0,2354,9237,0,2.15827338129496,1,,
20863806,1,1,63,1,0,1,0,3333,362,0,1.58730158730159,1,,
20863785,2,3,375,1,0,2,3,8854,18,0,0.533333333333333,1,,
20863781,2,1,557,0,0,4,0,1857,1866,0,0.718132854578097,1,,
20863709,1,1,499,2,1,3,6,246845,24,0,0.601202404809619,1,,
20863650,2,1,615,6,1,8,2,73673,268,0,1.30081300813008,1,,
20863638,1,3,474,0,0,3,0,579,1209,0,0.632911392405063,1,,
20863585,2,1,116,8,0,0,0,35426,81,1,0,0,,
20863286,1,1,684,0,0,3,4,5004,6469,0,0.43859649122807,0,,
20863160,4,3,85,2,0,13,0,82836,433,0,15.2941176470588,1,,
20863082,2,2,904,4,0,3,1,7517,478,0,0.331858407079646,1,,
20862966,1,1,66,0,0,2,2,105275,168,0,3.03030303030303,0,,
20862919,2,2,3516,5,0,3,2,36381,24,0,0.085324232081911,1,,
20862891,1,1,283,3,0,1,0,610,610,0,0.353356890459364,1,,
20862869,1,1,312,4,1,1,0,116,6,1,0.32051282051282,0,,
20862826,1,1,270,0,0,1,2,1578,168,0,0.37037037037037,0,,
20862558,6,1,489,7,0,2,0,8103,95,0,0.408997955010225,0,,
20862515,6,1,212,4,0,1,0,18444,24,0,0.471698113207547,0,,
20862508,2,2,964,1,0,5,0,24186,472,0,0.518672199170124,1,,
20862365,3,3,1827,0,1,8,0,4847,160,0,0.437876299945266,1,,
20862335,2,2,2962,9,0,0,0,1713,359,1,0,0,,
20862188,1,2,165,0,0,2,0,4206,2259,0,1.21212121212121,0,,
20862143,1,1,637,11,1,5,3,4998,275,0,0.784929356357928,1,,
20862135,1,1,131,7,0,2,0,31,31,0,1.52671755725191,0,,
20862024,2,3,686,2,0,1,3,3064,18,0,0.145772594752187,1,,
20772811,3,2,143,10,0,4,2,40420,11,0,2.7972027972028,0,,
20772795,1,1,156,2,0,3,1,164190,451,0,1.92307692307692,1,,
20772783,1,1,628,6,0,2,3,133503,151,0,0.318471337579618,0,,
20772538,1,2,454,1,0,5,0,89157,1268,0,1.10132158590308,1,,
